2017-04-13 19:10:51,298 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-13 19:10:51,299 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-13 19:12:14,017 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-13 19:12:14,019 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-13 19:12:14,021 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-13 19:12:14,022 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-14 17:30:09,155 [Worker-146] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-14 17:30:09,158 [Worker-146] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-14 17:30:09,160 [Worker-146] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-14 17:30:09,161 [Worker-146] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-14 17:31:26,323 [Worker-146] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.spring:mvc:1.0.0-BUILD-SNAPSHOT @ /Users/donghyuk/Documents/dev/17-1/capstone/spring-mvc/pom.xml.
2017-04-14 17:31:27,404 [Worker-146] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-14 17:31:27,405 [Worker-146] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-14 17:31:27,426 [Worker-146] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-14 17:31:27,427 [Worker-146] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-14 17:31:29,770 [Worker-148] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-14 17:31:29,771 [Worker-148] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-14 17:31:29,773 [Worker-148] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-14 17:31:29,774 [Worker-148] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-04-14 17:31:43,032 [Worker-149] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-14 17:31:43,035 [Worker-149] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-14 17:31:43,038 [Worker-149] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-14 17:31:43,038 [Worker-149] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-14 20:52:09,313 [Worker-168] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-14 20:52:09,315 [Worker-168] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-14 20:52:09,316 [Worker-168] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-14 20:52:09,317 [Worker-168] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-15 18:12:32,095 [Worker-276] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-15 18:12:32,100 [Worker-276] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-15 18:12:32,101 [Worker-276] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-15 18:12:32,102 [Worker-276] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-15 18:13:42,465 [Worker-269] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-15 18:13:42,469 [Worker-269] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-15 18:13:42,471 [Worker-269] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-15 18:13:42,474 [Worker-269] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-15 18:16:17,243 [Worker-269] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-15 18:16:17,246 [Worker-269] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-15 18:16:17,249 [Worker-269] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-15 18:16:17,250 [Worker-269] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-15 18:16:28,060 [Worker-277] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-15 18:16:28,060 [Worker-277] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-15 18:16:28,062 [Worker-277] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-15 18:16:28,065 [Worker-277] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-15 18:16:43,724 [Worker-273] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-15 18:16:43,726 [Worker-273] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-15 18:16:43,727 [Worker-273] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-15 18:16:43,729 [Worker-273] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-15 18:19:40,631 [Worker-263] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-15 18:19:40,644 [Worker-263] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-15 18:19:40,646 [Worker-263] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-15 18:19:40,647 [Worker-263] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-04-15 20:05:54,669 [Worker-283] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-04-15 20:05:54,673 [Worker-283] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
